,from,to,distance,road
0,AL,GR,420.3,True
1,AL,IT,907.0,False
2,AL,ME,263.5,True
3,AL,MK,194.1,True
4,AL,MT,974.4,False
5,AL,XK,235.2,True
6,AT,CH,669.4,True
7,AT,CZ,386.6,True
8,AT,DE,724.4,True
9,AT,HU,590.7,True
10,AT,SI,252.2,True
11,AT,SK,623.9,True
12,BA,HR,206.0,True
13,BA,ME,266.8,True
14,BA,RS,336.0,True
15,BE,DE,639.0,True
16,BE,FR,732.5,True
17,BE,LU,218.5,True
18,BE,NL,306.9,True
19,BE,UK,1035.2,False
20,BG,GR,600.7,False
21,BG,MK,429.8,True
22,BG,RO,479.3,True
23,BG,RS,540.4,True
24,BG,TR,1226.3,False
25,CH,DE,760.1,True
26,CH,FR,630.3,True
27,CH,IT,778.4,True
28,CY,GR,1294.1,False
29,CY,TR,613.6,False
30,CZ,DE,598.6,True
31,CZ,PL,618.0,True
32,CZ,SK,492.8,True
33,DE,DK,920.5,False
34,DE,FR,1158.4,True
35,DE,LU,526.1,True
36,DE,NL,575.8,True
37,DE,PL,1025.7,True
38,DE,SE,2408.9,False
39,DK,NO,1810.2,False
40,DK,SE,1562.7,False
41,DK,UK,1470.5,False
42,EE,FI,1299.4,False
43,EE,LV,383.9,True
44,EE,SE,1330.0,False
45,ES,FR,1161.3,True
46,ES,IE,2157.9,False
47,ES,IT,1782.4,False
48,ES,MT,2088.8,False
49,ES,PT,508.6,True
50,ES,UK,2260.4,False
51,FI,SE,1187.9,False
52,FR,IT,1224.9,False
53,FR,LU,670.3,True
54,FR,NO,3644.6,False
55,FR,UK,1443.8,False
56,GR,MK,380.8,True
57,GR,MT,1036.3,False
58,GR,TR,1377.6,False
59,HR,IT,587.9,False
60,HR,ME,470.6,True
61,HR,RS,507.1,True
62,HU,RO,659.4,True
63,HU,RS,495.7,True
64,HU,SI,537.2,True
65,HU,SK,256.8,True
66,IE,UK,620.8,False
67,IT,AT,799.1,False
68,IT,ME,784.3,False
69,IT,MT,1009.7,False
70,LT,LV,325.6,True
71,LT,PL,785.8,True
72,LT,SE,1742.9,False
73,LT,UA,1419.5,True
74,LV,SE,1552.2,False
75,MD,RO,445.4,True
76,MD,UA,453.5,True
77,ME,RS,280.3,True
78,ME,XK,185.1,True
79,MK,RS,410.5,True
80,MK,XK,172.9,True
81,NL,NO,2605.7,False
82,NL,UK,986.9,False
83,NO,FI,1536.4,False
84,NO,SE,590.0,True
85,NO,UK,2741.0,False
86,PL,SE,2157.5,False
87,PL,SK,593.5,True
88,PL,UA,1442.6,True
89,RO,RS,530.8,True
90,RS,XK,250.9,True
91,SI,HR,246.7,True
92,SK,UA,1334.8,True
93,TR,UA,1591.7,False
94,IE,FR,1658.8,False
95,IT,GR,1291.2,False
