,SCPC,CCGT,wasteST,hydro-turbine,bioST,oil-eng,nuclear-3,geothermal
AL,0,0,0,2203,0,97,0,0
DE,37508,31808,1912,5049,8467,4083,4056,56
HU,829,3151,49,61,213,425,1916,3
MK,824,251,0,644,7,165,0,0
SE,0,0,0,16300,0,0,6900,0
AT,0,4206,103,8673,482,120,0,0
DK,3022,1568,385,5,1754,959,0,0
IE,1199,4265,0,216,0,1272,0,17
BA,1883,0,0,1708,0,0,0,0
EE,78,110,17,8,152,1330,0,0
IT,7648,44215,120,14993,1534,1543,0,869
NL,4006,18351,786,37,415,0,486,0
SK,566,1111,0,1626,224,257,1940,0
BE,0,6988,384,186,730,450,4937,0
ES,3223,29903,546,16928,707,670,7117,0
LT,0,1518,70,128,99,0,0,0
NO,0,459,90,33403,2,0,0,0
BG,4475,695,6,2352,74,0,2080,0
FI,3413,1865,157,3149,1813,1386,2782,0
LU,0,70,21,33,47,0,0,0
PL,26849,3786,0,792,664,393,0,0
CH,0,0,0,6193,0,0,2970,0
FR,1816,12893,929,20482,1343,2566,61370,2
LV,0,1157,0,1609,177,0,0,0
PT,0,4520,0,4371,681,0,0,0
UK,11611,29237,0,1525,2119,1075,8985,0
GR,2650,6030,0,2724,127,0,0,0
RO,2673,1988,0,6136,118,0,1300,0
XK,1288,0,0,68,0,0,0,0
HR,217,766,6,1874,114,45,0,10
ME,210,0,0,649,0,0,0,0
RS,6011,608,32,2536,2,0,0,0
